hostname,st_teff,st_lum,st_mass,st_rad,st_logg,st_met,st_age,sy_dist_log,sy_pm,sy_snum,sy_gaiamag,st_spectype_group,sy_pnum,hz_pnum,has_hz_planet,st_logg_filled
51 Peg,5787.0,0.161,1.05,1.15,4.36,0.2,6.76,1.189248815891922,216.4603396,1,5.28647,G,1,0,0,False
55 Cnc,5235.0,-0.18,0.96,0.93,4.48,0.31,9.5,1.099870473990655,539.1329986,2,5.72973,G,5,1,1,False
HD 209458,6065.0,0.21,1.119,1.155,4.361,0.0,3.1,1.683961517079919,34.5682789,1,7.50866,,1,0,0,False
HR 810,6097.0,0.25,1.15,1.18,4.38,0.11,2.72,1.2385002430636125,399.5181853,1,5.25587,G,1,0,0,False
GJ 876,3293.74,-1.847020765474539,0.369607,0.367,4.874911,0.2129,,0.6697974074480213,1171.1009489,1,8.8753,,4,2,1,False
HD 38529,5573.0,0.74,1.41,2.66,3.81,0.37,3.09,1.6268923814907015,161.8424176,2,5.74796,,2,1,1,False
rho CrB,5817.0,0.26007,0.95,1.34,4.25,-0.2,10.2,1.2422208066118348,797.5220847,1,5.24167,,4,0,0,False
HD 169830,6305.0,0.629,1.4,1.73,4.09,0.09,2.5,1.5752432832378744,16.4600597,1,5.77641,,2,1,1,False
HD 168443,5645.0,0.246,1.05,1.39,4.16,0.12,9.0,1.597963795134679,242.3014111,1,6.73166,,2,1,1,False
ups And,6213.0,0.561,1.31,1.64,4.16,0.15,3.12,1.1272797773044245,419.8574185,2,3.98687,F,3,1,1,False
GJ 3021,5519.04,-0.18927,0.97,0.879611,4.53626,0.1046,,1.24442309839919,437.5480518,2,6.39729,,1,0,0,False
HD 27442,4961.0,0.79,1.46,3.18,3.76,0.26,2.89,1.2617480556114933,174.6127895,2,4.14532,,1,0,0,False
eps Eri,5146.0,-0.456,0.86,0.77,4.61,-0.03,2.6,0.5055026993129453,975.5865066,1,3.47719,K,1,0,0,False
HD 160691,5784.0,0.303,1.15,1.33,4.25,0.29,7.96,1.1930717002922953,191.5319109,1,4.94916,G,4,1,1,False
BD-10 3166,5388.0,-0.313,1.0,0.8,4.44,0.42,1.0,1.9263779502919958,185.0255981,1,9.83981,,1,0,0,False
HD 89744,6249.16,0.79579,1.21,2.13257,3.86304,0.2238,,1.5869966536396418,183.3619728,2,5.60551,,1,0,0,False
HD 134987,5764.0,0.144,1.1,1.19,4.19,0.33,4.5,1.4179762776794302,407.3027012,1,6.28994,,2,0,0,False
47 UMa,5882.0,0.233,1.06,1.24,4.31,0.04,6.48,1.1397752209537655,322.3708569,1,4.87837,G,3,1,1,False
tau Boo,6387.0,0.525,1.34,1.46,4.27,0.23,1.64,1.1945726139097987,472.3602962,2,4.36617,F,1,0,0,False
HD 10697,5614.0,0.42,1.11,1.75,4.11,0.15,6.98,1.5200968844414016,113.3529363,1,6.10286,,1,1,1,False
HD 179949,6168.0,0.322,1.18,1.22,4.36,0.14,2.56,1.4386578288675052,156.5457503,1,6.1106,F,1,0,0,False
HD 177830,4949.0,0.68502,1.47,2.62,3.65,0.545,4.4,1.797734139339906,66.7665853,2,6.8866,,2,0,0,False
HD 210277,5553.0,-0.027,1.0,1.05,4.31,0.22,7.5,1.3283490182433377,458.5778739,1,6.34701,,1,1,1,False
HD 130322,5373.0,-0.273,0.9,0.84,4.33,0.05,1.0,1.5034719927747715,191.8604963,1,7.83448,,1,0,0,False
HD 46375,5336.0,-0.137,0.95,1.0,4.37,0.32,9.0,1.4706001042426868,147.7164267,2,7.69533,,1,0,0,False
HD 195019,5741.0,0.329,1.05,1.48,4.06,0.03,8.5,1.575973714699524,354.1908518,2,6.72911,,1,0,0,False
16 Cyg B,5674.0,0.143,0.96,1.17,4.3,0.04,11.8,1.3250988198082547,211.1222128,3,6.06428,G,1,1,1,False
HD 217107,5665.0,0.042,1.1,1.09,4.25,0.4,4.0,1.302372061308539,16.3978436,1,5.96401,,2,0,0,False
HD 187123,5790.0,0.12713,1.04,1.15043,4.33338,0.09,,1.6623308803497672,188.6982861,1,7.67284,,2,0,0,False
HD 52265,6076.0,0.352,1.17,1.28,4.31,0.19,3.76,1.476835974332564,141.6078979,1,6.15257,G,1,0,0,False
HD 92788,5772.0,0.091,1.1,1.11,4.3,0.32,3.5,1.5397508645912357,223.7420083,1,7.13929,,2,0,0,False
HD 12661,5785.0,0.033,1.1,1.04,4.39,0.37,1.0,1.5780406400942535,204.3236427,1,7.24746,,2,0,0,False
HD 222582,5780.0,0.055,1.0,1.06,4.33,-0.01,6.0,1.6248861804215213,183.1072102,2,7.51889,,1,1,1,False
70 Vir,5545.0,0.501,1.1,1.88,3.96,-0.01,7.92,1.2528797186476042,622.5685118,1,4.76178,G,1,0,0,False
HD 16141,5747.0,0.24,1.05,1.39,4.14,0.14,7.51,1.5773320695861208,464.7992802,2,6.65773,,1,0,0,False
HD 75289,5974.0,0.29,1.2,1.31,4.06,0.2,3.5,1.464128727496159,228.8658,2,6.21047,,1,0,0,False
GJ 86,5151.0,-0.377,0.8,0.8,4.54,-0.27,11.3,1.0327637700467147,2218.591653,2,5.88516,K,1,0,0,False
HD 192263,5028.0,-0.546,0.8,0.7,4.29,-0.02,1.0,1.2930508116963806,268.3808352,1,7.49558,,1,0,0,False
OGLE-TR-10,6075.0,0.45076215493823163,1.277,1.52,4.178,0.28,3.1,3.128712597364626,5.1852878,1,15.6845,,1,0,0,False
HD 73526,5564.0,0.33,1.01,1.41,4.13,0.23,9.59,1.9878431636827125,170.3177023,1,8.79682,,2,0,0,False
2MASS J12073346-3932539,2825.0,-2.56086,0.188001,0.21887,5.03186,,,1.8082650030912368,68.3315134,1,17.4076,,1,0,0,False
HD 39091,6037.0,0.164,1.15,1.11,4.42,0.08,1.5,1.2617433015080368,1094.0304816,1,5.5128,,3,1,1,False
GJ 581,3500.0,-1.90781,0.295,0.302,4.97,-0.08,,0.7992095519981126,1225.3257121,1,9.411,M,3,0,0,False
HD 50554,5982.0,0.119,1.05,1.07,4.29,-0.07,3.5,1.493686640248343,103.324084,1,6.69786,,1,1,1,False
HD 111232,5406.0,-0.158,0.7,0.95,4.31,-0.46,13.0,1.4617550659138727,115.6833576,1,7.40535,,2,0,0,False
HD 142,6249.0,0.477,1.23,1.4,4.26,0.1,3.12,1.4180575538952562,576.4678738,2,5.58442,F,3,0,0,False
HD 81040,5620.0,-0.109,0.9,0.93,4.13,-0.21,8.0,1.5369887363661578,155.5120051,1,7.55543,,1,0,0,False
GJ 436,3350.0,-1.585,0.452,0.464,4.843,-0.03,6.0,0.9891475752728323,1209.8576781,1,9.57148,,1,0,0,False
TrES-1,5230.0,-0.359,0.878,0.807,4.567,0.02,3.7,2.2031906846594214,38.1245166,2,11.5565,,1,0,0,False
HD 118203,5683.0,0.61805,1.251,2.102,3.889,0.223,5.32,1.965008272223494,116.6279708,1,7.89255,,2,0,0,False
HD 189733,5040.0,-0.48,0.806,0.756,4.587,-0.03,6.8,1.2958704503916423,250.2466863,2,7.41432,,1,0,0,False
HD 99492,4955.0,-0.469,0.83,0.76,4.61,0.36,8.6,1.2601620553899735,752.2828201,2,7.26005,K,2,0,0,False
HD 104985,4738.0,1.76989,1.22,11.12,2.42,-0.32,,2.002494359337486,173.5842549,1,5.49698,G,1,0,0,False
HD 196050,5912.0,0.268,1.2,1.3,4.19,0.29,3.5,1.7047869011572907,201.847549,3,7.3407,,1,1,1,False
HD 216437,5806.0,0.332,1.2,1.45,4.06,0.22,5.0,1.426351828136363,84.9908695,1,5.89397,,1,1,1,False
HD 27894,4832.0,-0.449,0.8,0.85,4.02,0.21,13.0,1.6416862482261063,325.7145651,1,9.06573,,3,0,0,False
HD 28185,5706.0,0.01,1.1,1.04,4.35,0.27,2.5,1.5952856371593194,103.1407298,1,7.62682,,2,1,1,False
HD 74156,6071.0,0.435,1.2,1.49,4.28,0.04,5.0,1.7604451023384486,201.7827476,1,7.46934,,2,1,1,False
gam Cep,4775.0,1.0203400369945181,1.27,4.74,3.189,0.18,5.7,1.1492930288298249,136.1249426,2,2.92627,K,1,0,0,False
DH Tau,4371.0,-0.21153,0.683,1.36687,4.00103,,,2.1298380682995313,21.871659,1,12.4961,,1,0,0,False
HD 41004 A,5310.0,-0.293,0.95,0.85,4.37,0.23,1.0,1.5645615606641587,78.0072371,2,,,1,0,0,False
HD 41004 B,5036.0,-0.20175,0.84,1.04137,4.32713,,,1.6185752090336456,72.6789265,2,8.37625,,1,0,0,False
HD 11977,5008.0,1.84,2.13,9.94,2.97,0.19,1.0,1.83208143325958,105.5736344,1,4.43863,,1,0,0,False
OGLE-TR-56,6119.0,0.30035275298900826,1.233,1.26,4.331,0.25,1.7,,,1,,,1,0,0,False
HD 114729,5779.0,0.339,0.95,1.48,4.01,-0.33,10.5,1.5775641762196781,367.3596313,2,6.51382,,1,1,1,False
HD 128311,4965.0,-0.495,0.83,0.76,4.61,0.2,6.4,1.2129649083070195,323.1998789,1,7.16719,K,2,1,1,False
HD 190360,5590.0,0.053,0.96,1.13,4.48,0.25,6.7,1.2043072317785548,862.1421738,2,5.55436,G,2,0,0,False
HD 141937,5842.0,-0.026,1.1,0.95,4.25,0.1,1.0,1.5232546815447479,99.0912957,1,7.09149,,1,1,1,False
HD 162020,4891.0,-0.688,0.75,0.63,4.09,-0.07,1.0,1.4889002674517704,32.4378566,1,8.75949,,1,0,0,False
HD 213240,5924.0,0.378,1.2,1.47,4.12,0.19,4.0,1.6114120760168034,236.8762676,2,6.65761,,1,1,1,False
HD 117207,5615.0,0.043,1.0,1.11,4.16,0.19,6.5,1.509937377301524,218.0171086,1,7.07737,,1,0,0,False
HD 30177,5595.0,-0.023,1.1,1.04,4.15,0.39,3.5,1.744970892165367,67.2822907,1,8.21511,,2,0,0,False
14 Her,5388.0,-0.155,1.07,0.96,4.51,0.46,5.24,1.2536359958225034,324.5303062,1,6.383,K,2,0,0,False
HD 208487,6105.0,0.2,1.1,1.13,4.42,0.02,2.0,1.654628896914579,155.9182946,1,7.33164,,1,0,0,False
HD 149026,6160.0,0.38561,1.294,1.368,4.278,0.36,1.9,1.8800374549413439,93.9751146,1,8.01416,,1,0,0,False
HD 183263,5930.0,0.2,1.2,1.19,4.23,0.3,3.0,1.7339632273815089,37.4192004,1,7.71818,,2,1,1,False
HD 114783,5089.0,-0.411,0.85,0.8,4.27,0.09,7.0,1.323516103968136,138.7804107,1,7.31783,,2,1,1,False
OGLE-TR-113,4804.0,-0.5365089497282779,0.768,0.78,4.539,0.15,,2.7531684813342094,17.912214,1,15.443,,1,0,0,False
HD 178911 B,5564.0,-0.04303,0.98,1.02415,4.40857,0.2,,1.6124945838326816,204.0735915,3,7.86705,,1,0,0,False
HD 216435,5993.0,0.498,1.3,1.65,4.14,0.24,3.5,1.5182954216277915,232.563273,1,5.88357,,1,1,1,False
HD 114386,4820.0,-0.495,0.78,0.74,4.6,0.0,1.4,1.445982295128822,352.6224636,1,8.41823,K,1,0,0,False
HD 216770,5463.0,-0.225,1.0,0.86,4.38,0.36,1.0,1.5642220759886085,287.8677517,1,7.91638,,1,0,0,False
HD 23079,6017.0,0.092,1.05,1.03,4.52,-0.12,2.0,1.5245142549081896,213.7394128,1,6.96235,,1,1,1,False
HD 330075,5140.0,-0.391,0.9,0.81,4.38,0.18,1.0,1.6560876561026692,250.4810904,1,9.09159,,1,0,0,False
HD 4308,5695.0,0.029,0.93,1.02,4.41,-0.31,8.68,1.3427344712751252,758.1402158,1,6.37578,G,1,0,0,False
HD 76700,5687.0,0.188,1.15,1.28,4.14,0.41,5.0,1.7844967574060453,307.3738581,1,7.97348,,1,0,0,False
HD 202206,5722.0,-0.028,1.1,0.99,4.27,0.3,1.0,1.6624414367815346,126.2020582,2,7.91051,,1,0,0,False
HD 109749,5853.0,0.144,1.1,1.15,4.17,0.23,4.0,1.799906142539416,157.5073946,2,8.02456,,1,0,0,False
HD 88133,5452.0,0.5,1.12,1.85,3.98,0.28,6.88,1.8669503873784723,265.3912437,1,7.80979,,1,0,0,False
HD 117618,5901.0,0.18,1.05,1.18,4.19,0.0,6.0,1.577240111863596,127.9447545,1,7.0216,,1,0,0,False
HD 65216,5632.0,-0.176,0.9,0.86,4.43,-0.16,4.0,1.5455606901980516,191.7550039,3,7.7943,,2,1,1,False
HD 82943,5997.0,0.215,1.13,1.14,4.39,0.27,2.84,1.440754848669891,174.7245488,1,6.38964,G,2,1,1,False
HD 188015,5726.59,0.05636,1.02,1.08403,4.37659,0.2836,,1.704756046882863,105.8899417,2,8.06588,,1,1,1,False
HD 3651,5221.0,-0.268,0.88,0.88,4.51,0.16,8.2,1.0466356142303657,591.8261077,1,5.65255,K,1,0,0,False
HD 142022 A,5467.0,-0.091,1.0,1.01,4.2,0.2,7.0,1.535043347050548,338.4961047,2,7.51423,,1,0,0,False
HD 66428,5615.0,0.071,1.0,1.15,4.06,0.23,8.0,1.7265780729347868,217.1239644,1,8.08142,,2,0,0,False
HD 23596,5982.0,0.45821,1.1,1.57785,4.08333,0.28,,1.7160183766451413,57.130186,2,7.10356,,1,1,1,False
HD 72659,5926.0,0.33646,1.06,1.36,4.24,-0.02,6.5,1.7151246794151342,148.3055502,1,7.3107,G,2,0,0,False
HD 70642,5711.0,-0.054,1.1,0.96,4.42,0.22,1.0,1.4665117384861455,302.2287869,1,6.99211,,1,0,0,False
HD 80606,5574.0,-0.030884779745489123,1.018,1.037,4.415,0.34,5.9,1.8226328657754534,56.8807437,2,8.82008,,1,0,0,False
HD 108874,5572.0,0.013,1.0,1.09,4.25,0.24,8.0,1.7746446806190166,156.0955141,1,8.57502,,2,1,1,False
HD 8574,6031.0,0.37649,1.12,1.41292,4.18705,0.03,,1.651533862155692,296.6402261,1,6.98345,,1,0,0,False
HD 2638,5236.0,-0.448,0.9,0.73,4.38,0.22,1.0,1.7400633179559428,247.3852499,3,9.192761,,1,0,0,False
iot Dra,4504.0,1.72247,1.54,11.79,2.48,0.03,2.65,1.4959371062033693,18.1121506,1,2.96828,K,2,1,1,False
HD 106252,5923.0,0.108,1.05,1.08,4.44,-0.05,3.5,1.5818927949386175,280.9408178,1,7.26281,,1,1,1,False
HD 83443,5442.0,-0.10403,1.0,0.94,4.39,0.34,2.64,1.611713751299903,122.1338299,1,8.0265,K,2,0,0,False
HD 107148,5739.0,0.128,1.1,1.17,4.2,0.28,5.0,1.6938640728994963,72.4419017,2,7.85111,,2,0,0,False
HD 99109,5311.0,-0.29,1.0,0.85,4.22,0.38,1.0,1.7387020930868098,239.7552007,1,8.86823,,1,1,1,False
HD 164922,5390.0,-0.14874,0.926,0.946,4.46,0.18,9.58,1.342454264726944,717.364353,1,6.78614,,4,0,0,False
HD 68988,5866.0,0.2196,1.06,1.24672,4.27183,0.3,,1.7842227541190678,131.8506008,1,8.04611,,2,0,0,False
OGLE-TR-132,6210.0,0.371,1.305,1.32,4.313,0.37,1.2,3.3037617840879263,6.3857717,1,16.4883,,1,0,0,False
HD 50499,5927.0,0.342,1.25,1.41,4.05,0.26,3.5,1.6654355765148259,97.1708763,1,7.0564,,2,0,0,False
HD 93083,5059.0,-0.449,0.9,0.78,4.28,0.17,1.0,1.4550870830530036,178.2516947,1,8.04206,,1,0,0,False
HD 121504,5951.0,0.174,1.1,1.15,4.32,0.09,3.0,1.6197109257432325,263.2012165,1,7.39023,,1,0,0,False
HD 11964,5321.0,0.47,1.1,1.95,3.94,0.06,7.45,1.5255229158992998,439.8070368,2,6.209,,2,1,1,False
HD 49674,5583.0,-0.02162,0.99,1.04257,4.39749,0.23,,1.633871253608643,127.5748255,1,7.91841,,1,0,0,False
HD 168746,5625.0,-0.034,0.95,1.01,4.36,-0.05,8.0,1.6187601741724746,72.0994498,1,7.77169,,1,0,0,False
HD 37124,5492.0,-0.091,0.75,1.0,4.4,-0.4,13.0,1.500557547353794,427.6360836,1,7.47238,,3,1,1,False
HD 40979,6139.0,0.29056,1.16,1.2352,4.31905,0.25,,1.532605343293173,180.1229873,3,6.59963,,1,0,0,False
HD 4203,5644.0,0.206,1.15,1.33,4.11,0.43,5.0,1.9105150171969416,174.1399947,1,8.51545,,2,0,0,False
HD 45350,5566.0,0.14065,0.98,1.26442,4.22551,0.23,,1.6709255300369505,68.5076102,1,7.7,,1,1,1,False
HD 4208,5638.0,-0.188,0.9,0.85,4.39,-0.28,6.0,1.5339460970715728,347.3074549,1,7.61066,,1,1,1,False
HD 47536,4424.0,2.27,0.91,22.39,2.13,0.69,10.15,2.0882636993492807,125.544935,1,4.88004,,1,0,0,False
HD 149143,5892.0,0.276,1.2,1.32,4.04,0.32,4.0,1.8649860533101563,87.2392449,1,7.74081,,1,0,0,False
HD 142415,5939.0,0.034,1.15,0.98,4.38,0.15,1.0,1.550617208904085,151.9685258,1,7.17789,,1,0,0,False
HD 102117,5631.0,0.124,1.1,1.21,4.08,0.3,6.0,1.597467011722404,94.8733286,1,7.28191,,1,0,0,False
HD 33564,6420.0,0.502,1.31,1.4367,4.242539112131224,0.08,2.2,1.3212482856935241,180.0737299,1,4.97155,F,1,0,0,True
HD 2039,5934.0,0.288,1.2,1.32,4.3,0.3,3.5,1.9329412927385423,79.7853427,1,8.85974,,1,1,1,False
HD 212301,6303.0,0.231,1.25,1.1,4.57,0.17,1.0,1.7342428077758958,120.0378927,2,7.63495,,1,0,0,False
HD 6434,5742.0,0.061,0.75,1.09,4.52,-0.58,13.0,1.626935446018323,554.588905,1,7.5609,,1,0,0,False
HD 101930,5190.0,-0.387,0.9,0.79,4.31,0.27,1.0,1.4775177293172828,349.3958196,2,7.96664,,1,0,0,False
HIP 14810,5541.0,-0.018,1.0,1.06,4.19,0.26,6.0,1.7031193462360779,53.2887182,1,8.33307,,3,1,1,False
HD 13189,4175.0,2.6044043835761235,2.24,38.41,1.62,-0.37,,2.69707495764488,5.5152485,1,7.01743,,1,0,0,False
HD 154857,5604.56,0.66269,0.99,2.27465,3.71987,-0.2236,,1.8024193058451285,103.8983825,1,7.04837,,2,0,0,False
HD 63454,4907.0,-0.668,0.8,0.64,4.11,0.0,1.0,1.5762192237121873,44.5330074,1,9.05402,,1,0,0,False
HD 19994,6188.0,0.626,1.37,1.75,4.17,0.19,2.56,1.3526493749338777,205.2976134,3,4.93038,G,1,0,0,False
HD 147513,5888.0,-0.033,1.1,0.93,4.54,0.09,1.0,1.1106974289038574,74.23686,2,5.22664,,1,1,1,False
HD 108147,6179.0,0.245,1.2,1.16,4.26,0.09,1.0,1.5901728315963144,192.3721742,1,6.85345,,1,0,0,False
HD 37605,5448.0,-0.229,1.0,0.901,4.511,0.336,7.0,1.6701196294990006,252.7602573,1,8.46192,K,2,0,0,False
AB Pic,5378.0,-0.4,0.9,0.73,4.44,-0.05,1.0,1.6993823882424712,47.297973,1,8.8378,,1,0,0,False
OGLE-TR-111,5044.0,-0.40626620334843583,0.846,0.822,4.536,0.19,9.7,3.028705424080074,10.7592331,1,16.5277,,1,0,0,False
BD-08 2823,4816.0,-0.6343,0.78,0.692034,4.64991,-0.06,,1.6163095365217266,376.3791094,1,9.50331,,2,1,1,False
HD 110014,4559.0,2.3,2.28,20.15,2.27,0.05,0.83,2.003279538365731,80.7669238,1,4.31048,,1,0,0,False
CoRoT-1,6355.07,0.38854,1.26,1.29027,4.31708,0.0656,,2.896476061296657,6.039454,1,13.457,,1,0,0,False
bet Pic,8038.68,0.95282,1.95,1.54416,4.35072,,,1.295439541586153,82.614613,1,3.82015,,2,0,0,False
HIP 5158,4962.0,-0.95861,0.78,,4.37,0.1,6.0,1.7126715841312024,230.1580182,1,9.80235,,2,1,1,False
WASP-29,5203.0,-0.57392,0.88,0.635603,4.77618,0.17,,1.9424808043550135,105.495185,1,10.8932,,1,0,0,False
alf Ari,4504.0,1.934,3.13,15.21,2.2,,,1.305570396422958,240.4100663,1,,K,1,0,0,False
WASP-4,5400.0,-0.2158321929637457,0.864,0.893,4.47,-0.07,7.0,2.426846205815617,88.072915,1,12.3162,,1,0,0,False
HAT-P-3,5185.0,-0.35458,0.936,0.824,4.61,0.27,0.4,2.12889661292925,31.0851689,2,11.2795,K,1,0,0,False
HAT-P-24,6373.0,0.408,1.191,1.317,4.27,-0.16,2.8,2.61840794109062,8.330933,2,11.6396,F,1,0,0,False
HD 104067,4956.0,-0.469,0.83,0.77,4.6,0.1,0.4,1.3088460267658995,447.0205242,1,7.62029,K,2,0,0,False
HR 8799,7204.58,0.73347,1.61,1.49338,4.29656,,,1.6153618311718432,119.0689573,1,5.90914,,4,0,0,False
WASP-25,5736.0,-0.12511,1.025,0.876762,4.56303,0.06,,2.325137851697822,29.9367529,1,11.6885,,1,0,0,False
WASP-12,6154.0,0.59711,1.17,1.74942,4.02046,0.21,,2.630678005421892,7.1348482,3,11.4999,,1,0,0,False
WASP-13,5826.0,0.45301678797255474,1.22,1.657,4.086,0.0,5.0,2.3570520277591562,20.4329552,1,10.38,,1,0,0,False
HAT-P-18,4803.0,-0.569,0.77,0.749,4.57,0.1,12.4,2.2079035303860515,39.2955032,1,12.3682,K,1,0,0,False
WASP-19,5616.0,-0.04335,0.965,1.006,4.417,0.04,6.4,2.4286611380324996,39.4024365,1,12.1088,,1,0,0,False
Kepler-4,5857.0,0.354,1.223,1.487,4.17,0.17,4.5,2.688345059960547,7.6063536,1,12.1577,,1,0,0,False
TrES-2,5850.0,-0.02319,0.99,0.952,4.4,-0.15,3.1,2.3330843711436504,5.4639005,2,11.2819,,1,0,0,False
Kepler-9,5774.0,-0.038,1.022,0.958,4.49,0.05,2.0,2.7981373361733874,14.9221369,1,13.7809,,3,0,0,False
Kepler-11,5820.0,0.1202,1.05,1.12955,4.35344,0.07,,2.8104650654619836,7.0692817,1,13.7062,,6,0,0,False
HAT-P-11,4653.0,-0.6377145004376906,0.81,0.74,4.6,0.34,2.69,1.5770860390434585,264.8686021,1,9.15098,,2,0,0,False
Kepler-6,5647.0,0.299,1.209,1.391,4.236,0.34,3.8,2.7686669546073417,8.4838193,1,13.1714,,1,0,0,False
Kepler-7,5933.0,0.618,1.347,1.843,4.03,0.11,3.5,2.96499556220571,21.1570086,1,12.8649,,1,0,0,False
HAT-P-7,6366.0,0.77,1.51,2.0,4.01,0.28,2.07,2.53285498101726,20.3369477,2,10.3654,,1,0,0,False
CoRoT-8,5143.0,-0.69881,0.868,0.563398,4.87496,0.22,,2.5079057722321294,35.483344,1,14.2195,,1,0,0,False
CoRoT-10,5075.0,-0.4301117811108277,0.89,0.79,4.65,0.26,3.0,2.5294123867295126,22.9585905,1,14.6645,K,1,0,0,False
CoRoT-12,5675.0,0.007816682490439661,1.018,1.046,4.407,0.16,5.8,3.051681074852048,3.8659215,1,15.3453,,1,0,0,False
HD 132406,5766.0,0.18672710503955367,1.051,1.245,4.19,0.14,7.187,1.8499301925333067,280.734294,1,8.28075,,1,1,1,False
HD 175167,5635.0,0.45028,1.0,1.76199,3.94606,0.28,,1.851785910044792,191.6405164,1,7.82424,,1,1,1,False
HD 40307,4956.0,-0.639,0.7,0.65,4.21,-0.35,3.0,1.1118100785459815,79.7896257,1,6.84367,,5,1,1,False
WASP-2,5200.0,-0.328,0.89,0.84,4.537,0.1,5.6,2.18537781143487,48.6429449,2,11.5638,,1,0,0,False
BD-17 63,4714.0,-0.678,0.74,0.69,4.26,-0.03,4.3,1.5373190539529105,421.9214191,1,9.20112,K,1,0,0,False
HD 75898,5963.0,0.46,1.26,1.58,4.1430563712087185,0.28,3.56,1.8923756895450785,99.3528846,1,7.89597,G,2,0,0,True
HD 11506,6058.0,0.36,1.19,1.38,4.32,0.31,5.4,1.7097870741511079,100.1591624,1,7.37382,G,3,1,1,False
LP 261-75 A,3138.0,-2.08618,0.283907,0.306378,4.91873,,,1.5305582594516531,199.2956354,1,13.833,,1,0,0,False
HAT-P-15,5568.0,0.0,1.013,1.08,4.38,0.22,6.8,2.28446682954815,17.186859,1,11.7232,G,1,0,0,False
WASP-38,6124.0,0.47849,1.157,1.54109,4.12575,0.04,,2.1343046349545447,49.9988588,1,9.20974,,1,0,0,False
HAT-P-13,5653.0,0.346,1.22,1.56,4.13,0.41,5.0,2.392362752025857,35.7342909,1,10.4168,G,2,1,1,False
HAT-P-19,4962.0,-0.48545,0.807,0.773,4.5687,0.166,7.2,2.3055190349468946,42.0916998,1,12.5567,,1,0,0,False
HAT-P-8,6401.79,0.49124,1.285,1.4311,4.23563,0.048,,2.3254191883730932,76.2465043,3,10.1489,,1,0,0,False
WASP-32,6427.0,0.2104,1.3,1.02763,4.52834,0.28,,2.4408996407782055,16.6967089,1,11.409,,1,0,0,False
WASP-5,5880.0,0.05269387582343629,0.972,1.026,4.403,0.0,3.05,2.4901509880272803,17.5478704,1,11.996,G,1,0,0,False
Qatar-1,5013.0,-0.43771,0.838,0.803,4.552,0.171,,2.268613069695335,59.5264366,1,12.4764,,1,0,0,False
WASP-14,6475.0,0.6411989351219828,1.35,1.666,4.126,0.0,2.4,2.209506971977757,30.057238,3,9.64647,,1,0,0,False
HAT-P-6,6570.0,0.55267,1.29,1.46,4.22,-0.13,2.3,2.4398976985960714,20.3165716,1,10.3056,,1,0,0,False
WASP-18,6432.0,0.42813,1.294,1.319,4.31,0.107,1.57,2.091607172054137,32.5798036,2,9.16617,,2,0,0,False
FU Tau,2838.0,-0.69897,0.05,,,,0.001,,,1,15.2412,M,1,0,0,False
WASP-11,4800.0,0.0,0.77,0.74,4.45,0.0,,2.0959709223437146,44.9914262,3,11.5535,,1,0,0,False
XO-2 N,5332.0,-0.155,0.97,1.01,4.44,0.43,7.9,2.188289924915664,157.1107895,2,10.9718,,1,0,0,False
HAT-P-14,6583.0,0.59218,1.32,1.53,4.1,0.08,1.6,2.34764805614116,7.0779684,2,9.87283,F,1,0,0,False
GSC 06214-00210,4432.0,-0.54576,0.694,0.90484,4.36628,,,2.0354297381845483,36.7688781,1,11.8633,,1,0,0,False
HAT-P-17,5246.0,-0.319,0.857,0.838,4.52,0.0,7.8,1.9655925313063416,150.2840947,1,10.2743,K,2,0,0,False
HAT-P-25,5500.0,-0.125,1.01,0.959,4.48,0.31,3.2,2.4776767961857615,19.1456731,1,12.8416,G,1,0,0,False
CoRoT-5,6100.0,0.24237856806684302,1.0,1.186,4.19,-0.25,6.9,2.9457009345262537,8.8293871,1,13.9021,F,1,0,0,False
GJ 1214,3250.0,-2.33724,0.178,0.215,5.026,0.29,,1.1656211646312382,948.0511007,1,13.0089,M,1,0,0,False
HAT-P-1,5975.0,0.17026,1.133,1.135,4.382,0.13,2.7,2.2013397608836636,52.8378021,2,10.1786,,1,0,0,False
Kepler-5,6297.0,0.669,1.374,1.793,4.07,0.04,3.0,2.954134887583995,3.2446002,1,13.2263,,1,0,0,False
WASP-23,5046.0,-0.3374,0.84,0.88727,4.46623,0.05,,2.316997170689212,88.2328996,1,12.3208,,1,0,0,False
WASP-26,6015.0,0.2869624241364107,1.095,1.284,4.26,-0.02,4.0,2.4027066284796503,36.6887374,2,10.9935,,1,0,0,False
WASP-17,6548.0,0.61272,1.354,1.57323,4.1761,-0.07,,2.608427610867956,12.5908023,1,11.3803,,1,0,0,False
KOI-217,5525.0,-0.1888156763037822,0.97,0.88,4.53,0.12,1.7,2.9612782042903354,2.5768478,1,15.1013,,1,0,0,False
XO-3,6429.0,0.4832855392319647,1.206,1.409,4.222,-0.18,3.0,2.328487653881568,4.7275387,1,9.73889,,1,0,0,False
XO-5,5470.0,-0.06,0.88,1.08,4.31763516117627,0.05,14.8,2.4412409702026916,32.1685526,1,11.9498,G,1,0,0,True
HAT-P-16,6158.0,0.29447,1.218,1.237,4.34,0.17,2.0,2.3553308127828148,22.0468365,3,10.7568,F,1,0,0,False
WASP-8,5589.0,-0.05889,0.99,0.996641,4.43663,0.24,,1.9540523433378516,110.0108179,2,9.61249,,2,0,0,False
